country,code.3,code.2,type,capital,founding.date,capital.lat,capital.long,telephone.lines,telephone.mobile,internet.users,broadband.subscriptions,gdp.ppp,gdp.growth.rate,gdp.per.capita,gross.national.savings,industrial.production.growth.rate,labor.force.size,unemployment.rate,gini.index,tax.revenue,budget.surplus,debt,inflation.rate,central.bank.discount.rate,bank.lending.rate,current.account.balance,exports,imports,foreign.exchange,debt.external,electricity.production,electricity.consumption,electricity.exports,electricity.imports,electricity.capaicty,electricity.fossil.fuels,electricity.nuclear,electricity.hydroelectric,electricity.renewable,oil.production,oil.exports,oil.imports,oil.reserves,petroleum.production,natural.gas.production,natural.gas.consumption,natural.gas.export,natural.gas.import,natural.gas.reserves,co2.emissions,area,military.expenditures,population,age.median,population.growth.rate,birth.rate,death.rate,migration.net.rate,mortality.maternal.rate,mortality.infant.rate,life.expectany,fertility.rate,obesity.rate,underweight.children.under.5.rate,education.expenditures,unemployment.rate.youth,airports,railways,roadways,education.per.gdp,ag.area.per.total,ag.sq.km,arable.land.per.total,arable.land.hect.per.capita,birth.rate.per.1000,fish.production.1000.tons,co2.emissions.total,co2.emissions.per.capita,co2.emissions.from.gas.fuels,co2.emissions.from.liquid.fuels,death.rate.per.1000,fertility.rate.per.woman,fdi,forest.area.percent,gdp.constant,gdp.current,internet.access.percentage,inflation.rate,land.area.sq.km,life.expectancy.female,life.expectancy.male,life.expectancy.all,exports,imports,mobile.subscriptions.per.100,open.defecation.percentage,drinking.water.percentage,sanitation.percentage,population.density,populatiion.growth.rate,population.total,preeducation.years.avg,primary.education.avg,population.rural,population.rural.percentage,population.rural.growth.rate,science.articles,secondary.education.avg,internet.servers.per.million,area.sq.km,fish.production.tons,urban.populaiton,urban.population.percentage,urban.population.growth.rate,protected.areas.percentage,terrestrial.protected.areas.percentage
Afghanistan,AFG,AF,Islamic republic,Kabul,8/19/19,34 31 N,69 11 E,"118,769","23,929,713",NA,"16,810","$69,450,000,000 ",2.7,"$2,000 ",22.7,-1.9,"8,478,000",23.9,29.4,11.2,-15.1,7,5,NA,15,1014000000.00,"$784,000,000 ","$7,616,000,000 ","$7,187,000,000 ","$2,840,000,000 ","1,211,000,000","5,526,000,000",0,"4,400,000,000","634,100.00",45,0,52,4,0,0,0,0,0,"164,200,000","164,200,000",0,0,"49,550,000,000","9,067,000.00","652,230.00",0.99,"34,940,837",19,2.37,37.5,13.2,-0.6,638,108.5,52.1,5.02,5.5,25,4.1,17.6,43,NA,"34,903",2.594447297,58.06757957,379100,11.83867904,0.218437443,33.981,1000,8672.455,0.245101422,3.678646934,40.0845666,6.742,4.8,93591315.3,2.067824648,20206376461,19362642267,NA,5.102712888,652860,65.275,62.343,63.763,5.96E+08,6.53E+09,61.05463771,13.4506756,64.28648363,42.05418277,54.19711424,2.778317409,35383128,1,6,26530269,74.98,2.48932366,81.64,6,12.03963652,652860,2200,8852859,25.02,3.649410221,0.10470704,0.1
Angola,AGO,AO,republic,Luanda,11/11/75,8 50 S,13 13 E,"161,070","13,323,952","2,622,403","96,919","$193,600,000,000 ",-2.5,"$6,800 ",28.6,2.5,"12,510,000",6.6,42.7,29.3,-6.7,65,29.8,9,15.82,-1254000000.00,"$33,070,000,000 ","$19,500,000,000 ","$17,290,000,000 ","$42,080,000,000 ","10,200,000,000","9,036,000,000",0,0,"2,613,000.00",34,0,64,2,"1,593,000","1,782,000",0,"9,523,000,000","53,480","3,115,000,000","821,200,000","3,993,000,000",0,"308,100,000,000","20,950,000.00","1,246,700.00",1.78,"30,355,880",15.9,3.49,43.7,9,0.1,241,65.8,60.6,6.09,8.2,19,3.4,39.4,176,"2,852","26,000",3.57,47.47734018,591900,3.930376193,0.16988828,41.882,486490,34693.487,1.202860579,4.312440545,51.6858683,8.716,5.686,-179517618.9,46.30721041,1.01823E+11,1.01124E+11,13,21.77429952,1246700,62.783,57.242,59.925,2.76E+10,1.30E+10,45.07629005,21.22659367,55.08427629,48.62794479,23.13506377,3.37827278,28842484,5,6,10340319,35.851,1.436353882,39.97,6,8.321058616,1246700,487145,18502165,64.149,4.480209744,5.004713342,6.97
Albania,ALB,AL,parliamentary democracy,Tirana,11/28/12,41 19 N,19 49 E,"247,010","3,497,950","2,016,516","293,623","$36,010,000,000 ",3.8,"$12,500 ",15.9,6.8,"1,198,000",13.8,29,27.6,-2,71.8,2,1.25,8.22,-908000000.00,"$900,700,000 ","$4,103,000,000 ","$3,590,000,000 ","$9,505,000,000 ","7,138,000,000","5,110,000,000","1,869,000,000","1,827,000,000","2,109,000.00",5,0,95,0,"14,000","17,290",0,"168,300,000","5,638","50,970,000","50,970,000",0,0,"821,200,000","4,500,000.00","28,748.00",1.26,"3,057,220",33.4,0.3,13.2,6.9,-3.3,15,11.6,78.6,1.52,21.7,1.5,4,31.9,4,677,"3,945",3.57259164,43.12773544,11816.99951,22.63868569,0.215673924,12.08,7885.7,4536.079,1.577162624,3.556992724,74.130962,7.534,1.659,1044389555,28.12189701,13465406060,11861200797,66.3634447,-0.632442859,27400,80.134,76.353,78.194,1.96E+09,4.61E+09,116.7444442,0,91.02037015,97.70487655,104.9671898,-0.159880412,2876101,5,5,1195854,41.579,-2.505938185,185.87,7,144.6402612,28750,8835.7,1680247,58.421,1.54401448,13.14774946,17.21
Andorra,AND,AD,parliamentary democracy,Andorra la Vella,1278,42 30 N,1 31 E,"38,411","80,337","83,887","34,284","$3,327,000,000 ",-1.1,"$49,900 ",NA,NA,"39,750",3.7,NA,69,-6.9,41,-0.9,NA,NA,NA,"$78,710,000 ","$1,257,000,000 ",NA,$0 ,"99,480,000","221,600,000","6,000","471,300,000","520,000.00",61,0,23,15,0,0,0,0,0,0,0,0,0,0,NA,468,NA,"85,708",44.9,-0.01,7.3,7.4,0,NA,3.6,82.9,1.41,25.6,NA,3.2,NA,NA,NA,320,2.44,39.95744827,187.8000069,1.659574407,0.010090948,8.8,0,469.376,6.072370208,0,100,4.3,NA,NA,34.04255319,3409412701,2896679212,97.93063712,0.347795382,470,NA,NA,NA,9.70E+07,1.35E+09,98.49282637,0,100,100,164.4617021,-0.919469738,77297,3,6,9084,11.752,-0.088028175,7.99,6,2833.22768,470,0,68213,88.248,-1.029673946,21.19093028,21.19
United Arab Emirates,ARE,AE,federation with specified powers delegated to the UAE federal government and other powers reserved to member emirates,Abu Dhabi,12/2/71,24 28 N,54 22 E,"2,320,837","19,826,224","5,370,299","1,297,585","$696,000,000,000 ",0.8,"$68,600 ",28.5,1.8,"5,344,000",1.6,NA,28.8,-0.2,19.7,2,NA,6,26470000000.00,"$308,500,000,000 ","$229,200,000,000 ","$95,370,000,000 ","$237,600,000,000 ","121,800,000,000","113,200,000,000",0,"1,141,000,000","28,910,000.00",99,0,0,1,"3,216,000","2,552,000",0,"97,800,000,000","943,500","62,010,000,000","74,480,000,000","7,504,000,000","20,220,000,000","6,091,000,000,000","289,400,000.00","83,600.00",5.7,"9,701,315",37.2,1.44,9.8,1.7,6.3,3,5.5,78.7,1.73,31.7,NA,NA,7.7,43,NA,"4,080",NA,5.474514049,3887.999878,0.626584061,0.004753776,10.603,73000,206323.755,22.04082852,65.44210433,25.36568026,1.398,1.491,9604773000,4.557307852,3.84222E+11,3.57045E+11,90.60000732,-3.265365198,71020,78.846,76.79,77.47,2.95E+11,2.67E+11,212.6389865,0.0587,97.40736883,98.58189561,131.8076598,1.053281129,9360980,6,5,1313814,14.035,-0.998865855,2484.16,7,938.6837703,83600,74240.9,8047166,85.965,1.392358869,9.235667522,13.07
Argentina,ARG,AR,republic,Buenos Aires,7/9/1816,34 35 S,58 40 W,"9,530,349","61,897,379","30,786,889","7,870,222","$922,100,000,000 ",2.9,"$20,900 ",17.6,2.7,"18,000,000",8.4,41.7,18.9,-6,57.6,25.7,NA,26.58,-31320000000.00,"$58,450,000,000 ","$63,970,000,000 ","$55,330,000,000 ","$214,900,000,000 ","131,900,000,000","121,000,000,000","55,000,000","9,851,000,000","38,350,000.00",69,4,24,3,"489,000","36,630","16,740","2,162,000,000","669,800","40,920,000,000","49,040,000,000","76,450,000","9,826,000,000","336,600,000,000","203,700,000.00","2,780,400.00",0.86,"44,694,198",31.9,0.89,16.5,7.5,-0.1,39,9.5,77.5,2.25,28.3,NA,5.5,22.6,"1,138","36,917","281,290",5.056792956,54.33571212,1487000,14.323873,0.899281236,17.383,755226,201347.636,4.619085482,50.79223428,44.09922051,7.626,2.288,3260164342,9.798405818,4.46343E+11,5.57531E+11,70.96898082,41.11937999,2736690,79.583,72.768,76.221,5.79E+10,5.59E+10,146.4538276,NA,99.07837465,94.25850542,15.92813508,1.057181578,43590368,6,6,3649822,8.373,-0.412892629,8593.36,6,735.0247651,2780400,758899.5,39940546,91.627,1.192602919,7.528593349,8.89
Armenia,ARM,AM,republic,Yerevan,9/21/91,40 10 N,44 30 E,"505,190","3,488,524","1,891,775","315,319","$28,340,000,000 ",7.5,"$9,500 ",17.8,5.4,"1,507,000",18.9,31.5,22.9,-4.8,53.5,0.9,6.5,14.41,-328000000.00,"$2,361,000,000 ","$3,771,000,000 ","$2,314,000,000 ","$10,410,000,000 ","6,951,000,000","5,291,000,000","1,424,000,000","275,000,000","4,080,000.00",58,9,32,0,0,0,0,0,0,0,"2,350,000,000",0,"2,350,000,000",0,"5,501,000.00","29,743.00",4.25,"3,038,217",35.6,-0.25,12.6,9.5,-5.6,26,12.3,75.1,1.64,20.2,2.6,2.7,36.3,11,780,"7,700",2.444871664,58.89708637,16768.00049,15.67966259,0.152036034,14.568,3758,5155.802,1.755976031,81.29445235,16.07396871,9.849,1.744,333733314.1,11.66842333,11501998665,10546135160,64.34602977,0.268575076,28470,77.949,71.022,74.64,1.79E+09,3.27E+09,116.9754675,0,99.89853557,93.40697156,103.1312259,0.361431439,2936146,3,4,1083966,36.918,0.369512614,530.82,8,189.7044629,29740,20139,1852180,63.082,0.356702332,23.10900308,23.11
Antigua and Barbuda,ATG,AG,constitutional monarchy,Saint John's,11/1/81,17 07 N,61 51 W,"22,504","180,000","60,000","9,261","$2,398,000,000 ",2.8,"$26,400 ",17.3,6.8,"30,000",11,NA,19.6,-2.4,86.8,2.5,6.5,9.31,-112000000.00,"$86,700,000 ","$560,000,000 ",NA,"$441,200,000 ","331,000,000","307,800,000",0,0,"124,000.00",97,0,0,3,0,0,0,0,0,0,0,0,0,0,"740,300.00",442.6,NA,"95,882",32.2,1.2,15.6,5.8,2.1,NA,11.7,76.9,1.99,18.9,NA,2.5,NA,3,NA,"1,170",2.25,20.45454545,90,9.090909091,0.042315952,15.717,3000,557.384,5.896558655,0,100,6.27,2.003,97431976.47,22.27272771,1315622165,1436585185,73,1.872387958,440,77.766,75.41,76.617,5.00E+07,4.43E+08,190.4217843,0.264128913,96.73918628,87.50428238,214.8340909,1.021843835,94527,5,7,71041,75.154,1.22793031,7.64,5,804.0030891,440,3010,23486,24.846,0.401041538,0.271690244,19.33
Australia,AUS,AU,federal parliamentary democracy,Canberra,1/1/01,35 16 S,149 08 E,"8,460,000","27,553,000","20,288,409","7,923,000","$1,248,000,000,000 ",2.2,"$50,400 ",21,1.4,"12,910,000",5.6,30.3,35.5,-0.5,40.8,2,3,5.24,-36010000000.00,"$231,600,000,000 ","$221,000,000,000 ","$66,580,000,000 ","$1,714,000,000,000 ","243,000,000,000","229,400,000,000",0,0,"65,560,000.00",72,0,11,17,"284,000","192,500","341,700","1,821,000,000","462,500","105,200,000,000","45,250,000,000","67,960,000,000","5,776,000,000","1,989,000,000,000","439,100,000.00","7,741,220.00",1.89,"23,470,145",38.8,1.01,12,7.3,5.4,6,4.2,82.4,1.77,29,NA,5.3,12.6,480,"33,343","873,573",5.007328404,48.24194425,3710780,5.986463894,1.903525155,12.9,174629.4,375907.837,15.53922046,21.04847285,31.63270283,6.6,1.752,42980709072,16.25827806,1.34813E+12,1.20885E+12,86.54,-0.533004697,7692020,84.6,80.4,82.44878049,1.93E+11,1.96E+11,109.4312952,0,99.96997202,99.99115238,3.144935531,1.561940498,24190907,4,7,3435109,14.2,0.867186153,53781.62,6,9810.215053,7741220,271477,20755798,85.8,1.677390128,28.59184172,16.98
Austria,AUT,AT,federal republic,Vienna,11/12/18,48 12 N,16 22 E,"3,762,801","14,924,340","7,346,055","2,511,200","$441,000,000,000 ",3,"$50,000 ",27,6.5,"4,260,000",5.5,30.5,48.3,-0.7,78.6,2.2,0,1.57,7859000000.00,"$156,700,000,000 ","$158,100,000,000 ","$21,570,000,000 ","$630,800,000,000 ","60,780,000,000","64,600,000,000","19,210,000,000","26,370,000,000","24,790,000.00",25,0,43,31,"13,000",0,"146,600","41,200,000","186,500","1,274,000,000","9,486,000,000","5,437,000,000","14,020,000,000","6,513,000,000","63,930,000.00","83,871.00",0.58,"8,793,370",44.2,0.42,9.5,9.7,4.4,5,3.4,81.7,1.48,20.1,NA,5.5,9.8,52,"5,800","137,039",5.157501513,32.35667614,26701.69922,16.29230665,0.153890475,10,350,61447.919,7.033335706,26.77090171,50.95780868,9.2,1.53,-28939340169,46.90571284,4.21631E+11,3.95228E+11,84.32374257,1.667629328,82522.99805,84.1,79.3,81.64146341,1.52E+11,1.58E+11,126.6614696,0,100,99.97481352,105.8694934,1.081396299,8736668,6,4,3677700,42.095,0.631048572,12792.84,8,4449.980244,83879.00391,3833.4,5058968,57.905,1.4100618,28.44398259,28.44
