"","state.code","county.fips","county","state","region","division"
"1","AK",2013,"Aleutians East Borough","Alaska","West","Pacific"
"2","AK",2016,"Aleutians West Census Area","Alaska","West","Pacific"
"3","AK",2020,"Anchorage Municipality","Alaska","West","Pacific"
"4","AK",2050,"Bethel Census Area","Alaska","West","Pacific"
"5","AK",2060,"Bristol Bay Borough","Alaska","West","Pacific"
"6","AK",2068,"Denali Borough","Alaska","West","Pacific"
"7","AK",2070,"Dillingham Census Area","Alaska","West","Pacific"
"8","AK",2090,"Fairbanks North Star Borough","Alaska","West","Pacific"
"9","AK",2100,"Haines Borough","Alaska","West","Pacific"
"10","AK",2105,"Hoonah-Angoon Census Area","Alaska","West","Pacific"
"11","AK",2110,"Juneau City and Borough","Alaska","West","Pacific"
"12","AK",2122,"Kenai Peninsula Borough","Alaska","West","Pacific"
"13","AK",2130,"Ketchikan Gateway Borough","Alaska","West","Pacific"
"14","AK",2150,"Kodiak Island Borough","Alaska","West","Pacific"
"15","AK",2164,"Lake and Peninsula Borough","Alaska","West","Pacific"
"16","AK",2170,"Matanuska-Susitna Borough","Alaska","West","Pacific"
"17","AK",2180,"Nome Census Area","Alaska","West","Pacific"
"18","AK",2185,"North Slope Borough","Alaska","West","Pacific"
"19","AK",2188,"Northwest Arctic Borough","Alaska","West","Pacific"
"20","AK",2195,"Petersburg Borough","Alaska","West","Pacific"
"21","AK",2198,"Prince of Wales-Hyder Census Area","Alaska","West","Pacific"
"22","AK",2220,"Sitka City and Borough","Alaska","West","Pacific"
"23","AK",2230,"Skagway Municipality","Alaska","West","Pacific"
"24","AK",2240,"Southeast Fairbanks Census Area","Alaska","West","Pacific"
"25","AK",2261,"Valdez-Cordova Census Area","Alaska","West","Pacific"
"26","AK",2270,"Wade Hampton Census Area","Alaska","West","Pacific"
"27","AK",2275,"Wrangell City and Borough","Alaska","West","Pacific"
"28","AK",2282,"Yakutat City and Borough","Alaska","West","Pacific"
"29","AK",2290,"Yukon-Koyukuk Census Area","Alaska","West","Pacific"
"30","AL",1001,"Autauga County","Alabama","South","East South Central"
"31","AL",1003,"Baldwin County","Alabama","South","East South Central"
"32","AL",1005,"Barbour County","Alabama","South","East South Central"
"33","AL",1007,"Bibb County","Alabama","South","East South Central"
"34","AL",1009,"Blount County","Alabama","South","East South Central"
"35","AL",1011,"Bullock County","Alabama","South","East South Central"
"36","AL",1013,"Butler County","Alabama","South","East South Central"
"37","AL",1015,"Calhoun County","Alabama","South","East South Central"
"38","AL",1017,"Chambers County","Alabama","South","East South Central"
"39","AL",1019,"Cherokee County","Alabama","South","East South Central"
"40","AL",1021,"Chilton County","Alabama","South","East South Central"
"41","AL",1023,"Choctaw County","Alabama","South","East South Central"
"42","AL",1025,"Clarke County","Alabama","South","East South Central"
"43","AL",1027,"Clay County","Alabama","South","East South Central"
"44","AL",1029,"Cleburne County","Alabama","South","East South Central"
"45","AL",1031,"Coffee County","Alabama","South","East South Central"
"46","AL",1033,"Colbert County","Alabama","South","East South Central"
"47","AL",1035,"Conecuh County","Alabama","South","East South Central"
"48","AL",1037,"Coosa County","Alabama","South","East South Central"
"49","AL",1039,"Covington County","Alabama","South","East South Central"
"50","AL",1041,"Crenshaw County","Alabama","South","East South Central"
"51","AL",1043,"Cullman County","Alabama","South","East South Central"
"52","AL",1045,"Dale County","Alabama","South","East South Central"
"53","AL",1047,"Dallas County","Alabama","South","East South Central"
"54","AL",1049,"DeKalb County","Alabama","South","East South Central"
"55","AL",1051,"Elmore County","Alabama","South","East South Central"
"56","AL",1053,"Escambia County","Alabama","South","East South Central"
"57","AL",1055,"Etowah County","Alabama","South","East South Central"
"58","AL",1057,"Fayette County","Alabama","South","East South Central"
"59","AL",1059,"Franklin County","Alabama","South","East South Central"
"60","AL",1061,"Geneva County","Alabama","South","East South Central"
"61","AL",1063,"Greene County","Alabama","South","East South Central"
"62","AL",1065,"Hale County","Alabama","South","East South Central"
"63","AL",1067,"Henry County","Alabama","South","East South Central"
"64","AL",1069,"Houston County","Alabama","South","East South Central"
"65","AL",1071,"Jackson County","Alabama","South","East South Central"
"66","AL",1073,"Jefferson County","Alabama","South","East South Central"
"67","AL",1075,"Lamar County","Alabama","South","East South Central"
"68","AL",1077,"Lauderdale County","Alabama","South","East South Central"
"69","AL",1079,"Lawrence County","Alabama","South","East South Central"
"70","AL",1081,"Lee County","Alabama","South","East South Central"
"71","AL",1083,"Limestone County","Alabama","South","East South Central"
"72","AL",1085,"Lowndes County","Alabama","South","East South Central"
"73","AL",1087,"Macon County","Alabama","South","East South Central"
"74","AL",1089,"Madison County","Alabama","South","East South Central"
"75","AL",1091,"Marengo County","Alabama","South","East South Central"
"76","AL",1093,"Marion County","Alabama","South","East South Central"
"77","AL",1095,"Marshall County","Alabama","South","East South Central"
"78","AL",1097,"Mobile County","Alabama","South","East South Central"
"79","AL",1099,"Monroe County","Alabama","South","East South Central"
"80","AL",1101,"Montgomery County","Alabama","South","East South Central"
"81","AL",1103,"Morgan County","Alabama","South","East South Central"
"82","AL",1105,"Perry County","Alabama","South","East South Central"
"83","AL",1107,"Pickens County","Alabama","South","East South Central"
"84","AL",1109,"Pike County","Alabama","South","East South Central"
"85","AL",1111,"Randolph County","Alabama","South","East South Central"
"86","AL",1113,"Russell County","Alabama","South","East South Central"
"87","AL",1115,"St. Clair County","Alabama","South","East South Central"
"88","AL",1117,"Shelby County","Alabama","South","East South Central"
"89","AL",1119,"Sumter County","Alabama","South","East South Central"
"90","AL",1121,"Talladega County","Alabama","South","East South Central"
"91","AL",1123,"Tallapoosa County","Alabama","South","East South Central"
"92","AL",1125,"Tuscaloosa County","Alabama","South","East South Central"
"93","AL",1127,"Walker County","Alabama","South","East South Central"
"94","AL",1129,"Washington County","Alabama","South","East South Central"
"95","AL",1131,"Wilcox County","Alabama","South","East South Central"
"96","AL",1133,"Winston County","Alabama","South","East South Central"
"97","AR",5001,"Arkansas County","Arkansas","South","West South Central"
"98","AR",5003,"Ashley County","Arkansas","South","West South Central"
"99","AR",5005,"Baxter County","Arkansas","South","West South Central"
"100","AR",5007,"Benton County","Arkansas","South","West South Central"
"101","AR",5009,"Boone County","Arkansas","South","West South Central"
"102","AR",5011,"Bradley County","Arkansas","South","West South Central"
"103","AR",5013,"Calhoun County","Arkansas","South","West South Central"
"104","AR",5015,"Carroll County","Arkansas","South","West South Central"
"105","AR",5017,"Chicot County","Arkansas","South","West South Central"
"106","AR",5019,"Clark County","Arkansas","South","West South Central"
"107","AR",5021,"Clay County","Arkansas","South","West South Central"
"108","AR",5023,"Cleburne County","Arkansas","South","West South Central"
"109","AR",5025,"Cleveland County","Arkansas","South","West South Central"
"110","AR",5027,"Columbia County","Arkansas","South","West South Central"
"111","AR",5029,"Conway County","Arkansas","South","West South Central"
"112","AR",5031,"Craighead County","Arkansas","South","West South Central"
"113","AR",5033,"Crawford County","Arkansas","South","West South Central"
"114","AR",5035,"Crittenden County","Arkansas","South","West South Central"
"115","AR",5037,"Cross County","Arkansas","South","West South Central"
"116","AR",5039,"Dallas County","Arkansas","South","West South Central"
"117","AR",5041,"Desha County","Arkansas","South","West South Central"
"118","AR",5043,"Drew County","Arkansas","South","West South Central"
"119","AR",5045,"Faulkner County","Arkansas","South","West South Central"
"120","AR",5047,"Franklin County","Arkansas","South","West South Central"
"121","AR",5049,"Fulton County","Arkansas","South","West South Central"
"122","AR",5051,"Garland County","Arkansas","South","West South Central"
"123","AR",5053,"Grant County","Arkansas","South","West South Central"
"124","AR",5055,"Greene County","Arkansas","South","West South Central"
"125","AR",5057,"Hempstead County","Arkansas","South","West South Central"
"126","AR",5059,"Hot Spring County","Arkansas","South","West South Central"
"127","AR",5061,"Howard County","Arkansas","South","West South Central"
"128","AR",5063,"Independence County","Arkansas","South","West South Central"
"129","AR",5065,"Izard County","Arkansas","South","West South Central"
"130","AR",5067,"Jackson County","Arkansas","South","West South Central"
"131","AR",5069,"Jefferson County","Arkansas","South","West South Central"
"132","AR",5071,"Johnson County","Arkansas","South","West South Central"
"133","AR",5073,"Lafayette County","Arkansas","South","West South Central"
"134","AR",5075,"Lawrence County","Arkansas","South","West South Central"
"135","AR",5077,"Lee County","Arkansas","South","West South Central"
"136","AR",5079,"Lincoln County","Arkansas","South","West South Central"
"137","AR",5081,"Little River County","Arkansas","South","West South Central"
"138","AR",5083,"Logan County","Arkansas","South","West South Central"
"139","AR",5085,"Lonoke County","Arkansas","South","West South Central"
"140","AR",5087,"Madison County","Arkansas","South","West South Central"
"141","AR",5089,"Marion County","Arkansas","South","West South Central"
"142","AR",5091,"Miller County","Arkansas","South","West South Central"
"143","AR",5093,"Mississippi County","Arkansas","South","West South Central"
"144","AR",5095,"Monroe County","Arkansas","South","West South Central"
"145","AR",5097,"Montgomery County","Arkansas","South","West South Central"
"146","AR",5099,"Nevada County","Arkansas","South","West South Central"
"147","AR",5101,"Newton County","Arkansas","South","West South Central"
"148","AR",5103,"Ouachita County","Arkansas","South","West South Central"
"149","AR",5105,"Perry County","Arkansas","South","West South Central"
"150","AR",5107,"Phillips County","Arkansas","South","West South Central"
"151","AR",5109,"Pike County","Arkansas","South","West South Central"
"152","AR",5111,"Poinsett County","Arkansas","South","West South Central"
"153","AR",5113,"Polk County","Arkansas","South","West South Central"
"154","AR",5115,"Pope County","Arkansas","South","West South Central"
"155","AR",5117,"Prairie County","Arkansas","South","West South Central"
"156","AR",5119,"Pulaski County","Arkansas","South","West South Central"
"157","AR",5121,"Randolph County","Arkansas","South","West South Central"
"158","AR",5123,"St. Francis County","Arkansas","South","West South Central"
"159","AR",5125,"Saline County","Arkansas","South","West South Central"
"160","AR",5127,"Scott County","Arkansas","South","West South Central"
"161","AR",5129,"Searcy County","Arkansas","South","West South Central"
"162","AR",5131,"Sebastian County","Arkansas","South","West South Central"
"163","AR",5133,"Sevier County","Arkansas","South","West South Central"
"164","AR",5135,"Sharp County","Arkansas","South","West South Central"
"165","AR",5137,"Stone County","Arkansas","South","West South Central"
"166","AR",5139,"Union County","Arkansas","South","West South Central"
"167","AR",5141,"Van Buren County","Arkansas","South","West South Central"
"168","AR",5143,"Washington County","Arkansas","South","West South Central"
"169","AR",5145,"White County","Arkansas","South","West South Central"
"170","AR",5147,"Woodruff County","Arkansas","South","West South Central"
"171","AR",5149,"Yell County","Arkansas","South","West South Central"
"172","AZ",4001,"Apache County","Arizona","West","Mountain"
"173","AZ",4003,"Cochise County","Arizona","West","Mountain"
"174","AZ",4005,"Coconino County","Arizona","West","Mountain"
"175","AZ",4007,"Gila County","Arizona","West","Mountain"
"176","AZ",4009,"Graham County","Arizona","West","Mountain"
