fips,state,county,tot_pop,tot_men,tot_women,per_hispanic,per_white,per_black,per_native,per_asian,per_pacific,tot_voting_age_citizens,median_income,mean_income_percap,per_poverty,per_child_poverty,per_professional_emp,per_service_emp,per_office_emp,per_construction_emp,per_production_emp,per_drive_work,per_carpool_work,per_transit_work,per_walk_work,per_other_work,per_work_at_home,per_commute,tot_employed,per_private_employer,per_public_employer,per_self_employed,per_famly_employed,per_unemployment,per_less_high_school,per_at_least_high_school,per_at_least_ba,per_graduate_degree,per_school_enrollment,med_earnings,per_chidlren_under6_poverty,per_adults_over65_poverty,gini_inquality,per_farming_fishing_forestry_employed,median_age,per_poor_physical_health_days,per_poor_mental_health_days,per_low_birthrate,per_teen_births,per_children_single_parent,per_adult_smoke,per_adult_obesity,per_diabetes,tot_stds,hiv_prevalence_rate,prop_uninsured,tot_violent_crime,homicide_rate,injury_dealths,infant_mortality
1001,Alabama,Autauga County,55036,26899,28137,2.7,75.4,18.9,0.3,0.9,0,41016,55317,27824,13.7,20.1,35.3,18,23.2,8.1,15.4,86,9.6,0.1,0.6,1.3,2.5,25.8,24112,74.1,20.2,5.6,0.1,5.2,14.7,85.3,21.7,7.1,78.8,30043.21365,21.15,8.75,0.405,0.5,36.2,5.1,3.6,0.09,39,0.301,0.217,0.305,0.118,446.9,181.1,0.139,302.91,3.57,69.6,9
1003,Alabama,Baldwin County,203360,99527,103833,4.4,83.1,9.5,0.8,0.7,0,155376,52562,29364,11.8,16.1,35.7,18.2,25.6,9.7,10.8,84.7,7.6,0.1,0.8,1.1,5.6,27,89527,80.7,12.9,6.3,0.1,5.5,12.4,87.6,26.8,8.7,74.95,26630.5654,20.9,5.2,0.439,0.85,41,3.3,3.8,0.09,46.4,0.279,0.206,0.266,0.118,301.5,188.1,0.166,213.3,4.18,76.2,6.4
1005,Alabama,Barbour County,26201,13976,12225,4.2,45.7,47.8,0.2,0.6,0,20269,33368,17561,27.2,44.9,25,16.8,22.6,11.5,24.1,83.4,11.1,0.3,2.2,1.7,1.3,23.4,8878,74.1,19.1,6.5,0.3,12.4,28.1,71.9,13.5,6,67.85,20663.4527,37.15,21.3,0.464,2.05,38,4.8,4.3,0.12,73.8,0.559,0.251,0.373,0.142,873.9,388.1,0.189,154.33,5.13,52.7,12.8
1007,Alabama,Bibb County,22580,12251,10329,2.4,74.6,22,0.4,0,0,17662,43404,20911,15.2,26.6,24.4,17.6,19.7,15.9,22.4,86.4,9.5,0.7,0.3,1.7,1.5,30,8171,76,17.4,6.3,0.3,8.2,25.5,74.5,10,2.6,67.3,26875.00381,21.55,12.4,0.411,0.6,38.3,4.7,5.1,0.13,49.3,0.393,0.259,0.343,0.111,465.6,106.7,0.16,254.24,7.65,98.1,11.2
1009,Alabama,Blount County,57667,28490,29177,9,87.4,1.5,0.3,0.1,0,42513,47412,22021,15.6,25.4,28.5,12.9,23.3,15.8,19.5,86.8,10.2,0.1,0.4,0.4,2.1,35,21380,83.9,11.9,4,0.1,4.9,25.3,74.7,12.5,4.2,72.5,27774.18032,16.95,10.8,0.422,1.2,38.3,5.9,3.9,0.08,47.6,0.253,0.213,0.304,0.14,175.1,92.8,0.181,164.46,4.08,89.3,6.6
1011,Alabama,Bullock County,10478,5616,4862,0.3,21.6,75.6,1,0.7,0,8212,29655,20856,28.5,50.4,19.7,17.1,18.6,14,30.6,73.1,15.7,0.3,6.2,1.7,3,29.8,4290,81.4,13.6,5,0,12.1,25.3,74.7,12,3.7,69.55,20651.69397,54.35,24.25,0.533,5.15,38.7,4.2,NA,0.14,85.1,0.654,0.378,0.421,0.175,1403.9,409.1,0.157,333.96,NA,102.5,NA
1013,Alabama,Butler County,20126,9416,10710,0.3,52.2,44.7,0.1,1.1,0,15459,36326,19004,24.4,34.8,26.9,17.3,18.5,11.6,25.7,83.6,12.6,0,0.9,0.9,2,23.2,7727,79.1,15.3,5.3,0.3,7.6,25.2,74.8,11,3.2,74.35,22321.77111,34.2,21.25,0.463,2.1,39.7,3.9,3.5,0.1,61.5,0.494,0.305,0.383,0.16,639.2,219.8,0.164,452.92,9.58,70.8,10.8
1015,Alabama,Calhoun County,115527,55593,59934,3.6,72.7,20.4,0.2,1,0,88383,43686,23638,18.6,26.6,29,17.5,23.7,10.4,19.4,85,9.2,0.2,1.3,1.1,3.2,24.8,47392,74.9,19.9,5.1,0.1,10.1,21.5,78.5,16.1,6.4,74.65,24610.49683,30.4,11.1,0.453,0.45,38.1,5.2,5.1,0.09,50.7,0.388,0.244,0.332,0.139,663,185.4,0.169,553.33,11.31,78.4,8
1017,Alabama,Chambers County,33895,16320,17575,2.2,56.2,39.3,0.3,1,0,26259,37342,22002,18.8,29.1,24.3,13.5,23,11.6,27.6,87.1,9.7,0.2,0.6,0.5,2,23.6,14527,84.5,11.8,3.7,0,6.4,28.2,71.8,10.8,3.7,73.85,23437.68032,31.85,14.5,0.425,0.4,40.1,5,4.3,0.12,62.6,0.516,0.241,0.354,0.15,766.1,318.2,0.179,575.7,8.21,77.5,6.7
1019,Alabama,Cherokee County,25855,12862,12993,1.6,91.8,5,0.5,0.1,0,20620,40041,23010,16.1,20,28.8,14.8,18.1,11.9,26.5,85,12.1,0.4,0.3,0.3,2,26.5,9879,74.8,17.1,8.1,0,5.3,26.6,73.4,10.5,4.2,68.8,26915.90349,20.7,10.45,0.439,1.4,43.9,6.1,5.2,0.09,52.2,0.258,0.244,0.314,0.136,268.6,119.8,0.172,335.88,NA,80.9,NA
