"","date","county","state","fips","cases","deaths"
"29313","5/9/22","Autauga","Alabama",1001,15846,216
"29314","5/9/22","Baldwin","Alabama",1003,55761,680
"29315","5/9/22","Barbour","Alabama",1005,5675,98
"29316","5/9/22","Bibb","Alabama",1007,6447,104
"29317","5/9/22","Blount","Alabama",1009,14988,243
"29318","5/9/22","Bullock","Alabama",1011,2318,54
"29319","5/9/22","Butler","Alabama",1013,5068,129
"29320","5/9/22","Calhoun","Alabama",1015,32431,626
"29321","5/9/22","Chambers","Alabama",1017,8495,162
"29322","5/9/22","Cherokee","Alabama",1019,5128,86
"29323","5/9/22","Chilton","Alabama",1021,11125,207
"29324","5/9/22","Choctaw","Alabama",1023,2050,36
"29325","5/9/22","Clarke","Alabama",1025,7147,101
"29326","5/9/22","Clay","Alabama",1027,4091,82
"29327","5/9/22","Cleburne","Alabama",1029,3560,69
"29328","5/9/22","Coffee","Alabama",1031,13628,231
"29329","5/9/22","Colbert","Alabama",1033,16349,260
"29330","5/9/22","Conecuh","Alabama",1035,2868,70
"29331","5/9/22","Coosa","Alabama",1037,2971,58
"29332","5/9/22","Covington","Alabama",1039,9348,232
"29333","5/9/22","Crenshaw","Alabama",1041,3831,99
"29334","5/9/22","Cullman","Alabama",1043,24627,367
"29335","5/9/22","Dale","Alabama",1045,12923,231
"29336","5/9/22","Dallas","Alabama",1047,8424,244
"29337","5/9/22","DeKalb","Alabama",1049,18777,328
"29338","5/9/22","Elmore","Alabama",1051,23403,347
"29339","5/9/22","Escambia","Alabama",1053,10065,170
"29340","5/9/22","Etowah","Alabama",1055,28778,651
"29341","5/9/22","Fayette","Alabama",1057,4983,96
"29342","5/9/22","Franklin","Alabama",1059,9898,139
"29343","5/9/22","Geneva","Alabama",1061,6488,164
"29344","5/9/22","Greene","Alabama",1063,1875,49
"29345","5/9/22","Hale","Alabama",1065,4733,106
"29346","5/9/22","Henry","Alabama",1067,4577,76
"29347","5/9/22","Houston","Alabama",1069,25762,506
"29348","5/9/22","Jackson","Alabama",1071,15042,241
"29349","5/9/22","Jefferson","Alabama",1073,185594,2371
