"","AFN120207","AGE135214","AGE295214","AGE775214","Black","BPS030214","BZA010213","BZA110213","BZA115213","Clinton","Clinton_Deviation","Clinton_Obama","Clinton_Prediction","combined_fips","county_fips","county_name","diff_2012","diff_2016","Edu_batchelors","Edu_highschool","EDU635213","EDU685213","Hispanic","HSD310213","HSD410213","HSG010214","HSG096213","HSG445213","HSG495213","INC110213","INC910213","Income","LFE305213","LND110210","MAN450207","NES010213","NonEnglish","Obama","per_dem_2012","per_dem_2016","per_gop_2012","per_gop_2016","per_point_diff_2012","per_point_diff_2016","POP010210","POP060210","POP645213","POP715213","POP815213","population_change","population2010","population2014","Poverty","PST040210","PST045214","PST120214","PVY020213","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214","Romney","RTN130207","RTN131207","SBO001207","SBO015207","SBO115207","SBO215207","SBO315207","SBO415207","SBO515207","SEX255214","state_abbreviation","state_fips","total_votes_2012","total_votes_2016","Trump","Trump_Deviation","Trump_Prediction","Trump_Romney","VET605213","votes_dem_2012","votes_dem_2016","votes_gop_2012","votes_gop_2016","White","WTN220207"
"1",88157,6,25.2,13.8,0.187,131,817,10120,2.1,0.23956855,0.100924386,-0.026189115,0.340492935,1001,1,"Autauga County",11012,12202,20.9,85.6,85.6,20.9,0.027,2.71,20071,22751,8.3,76.8,136200,53682,24571,24571,26.2,594.44,0,2947,3.5,0.265757664,0.265757664,0.23956855,0.726337362,0.734357893,-0.460579698,-0.494789343,54571,91.8,1.6,85,3.5,1.5,54571,55395,12.1,54571,55395,1.5,12.1,77.9,18.7,0.5,1.1,0.1,1.8,2.7,75.6,0.726337362,598175,12003,4067,31.7,0,1.3,15.2,0.7,0,51.4,"AL",1,23909,24661,0.734357893,-0.113499208,0.620858685,0.008020531,5922,6354,5908,17366,18110,0.779,0
"2",436955,5.6,22.2,18.7,0.096,1384,4871,54988,3.7,0.195653098,0.163849287,-0.020012643,0.359502385,1003,3,"Baldwin County",47443,54371,27.7,89.1,89.1,27.7,0.046,2.52,73283,107374,24.4,72.6,168600,50221,26766,26766,25.9,1589.78,1410273,16508,5.5,0.215665741,0.215665741,0.195653098,0.773897491,0.77351472,-0.55823175,-0.577861622,182265,114.6,3.6,82.1,5.5,9.8,182265,200111,13.9,182265,200111,9.8,13.9,87.1,9.6,0.7,0.9,0.1,1.6,4.6,83,0.773897491,2966489,17166,19035,27.3,0.4,1,2.7,1.3,0,51.2,"AL",1,84988,94090,0.77351472,-0.186766123,0.586748597,-0.000382771,19346,18329,18409,65772,72780,0.871,0
"3",0,5.7,21.2,16.5,0.476,8,464,6611,-5.6,0.466602502,0.00809032,-0.045920405,0.474692823,1005,5,"Barbour County",334,583,13.4,73.7,73.7,13.4,0.045,2.66,9200,11799,10.6,67.7,89200,32911,16829,16829,24.6,884.88,0,1546,5,0.512522908,0.512522908,0.466602502,0.483375513,0.522714148,0.029147395,-0.056111646,27457,31,2.9,84.8,5,-2.1,27457,26887,26.7,27457,26887,-2.1,26.7,50.2,47.6,0.6,0.5,0.2,0.9,4.5,46.6,0.483375513,188337,6334,1667,27,0,0,0,0,0,46.6,"AL",1,11459,10390,0.522714148,-0.004882142,0.517832006,0.039338636,2120,5873,4848,5539,5431,0.502,0
"4",10757,5.3,21,14.8,0.221,19,275,3145,7.5,0.214220393,0.071810994,-0.047965282,0.286031387,1007,7,"Bibb County",3931,4859,12.1,77.5,77.5,12.1,0.021,3.03,7091,8978,7.3,79,90500,36447,17427,17427,27.6,622.58,0,1126,2.1,0.262185675,0.262185675,0.214220393,0.730663806,0.769661637,-0.468478131,-0.555441244,22915,36.8,1.2,86.6,2.1,-1.8,22919,22506,18.1,22919,22506,-1.8,18.1,76.3,22.1,0.4,0.2,0.1,0.9,2.1,74.5,0.730663806,124707,5804,1385,0,0,0,14.9,0,0,45.9,"AL",1,8391,8748,0.769661637,-0.077434258,0.692227379,0.03899783,1327,2200,1874,6131,6733,0.763,0
"5",20941,6.1,23.6,17,0.018,3,660,6798,3.4,0.084699023,0.092791259,-0.038778875,0.177490282,1009,9,"Blount County",17780,20658,12.1,77,77,12.1,0.087,2.7,21108,23826,4.5,81,117100,44145,20730,20730,33.9,644.78,341544,3563,7.3,0.123477898,0.123477898,0.084699023,0.864929108,0.898518752,-0.741451209,-0.813819729,57322,88.9,4.3,88.7,7.3,0.7,57322,57719,15.8,57322,57719,0.7,15.8,96,1.8,0.6,0.3,0.1,1.2,8.7,87.8,0.864929108,319700,5622,4458,23.2,0,0,0,0,0,50.5,"AL",1,23980,25384,0.898518752,-0.108870165,0.789648587,0.033589644,4540,2961,2150,20741,22808,0.96,0
"6",3670,6.3,21.4,14.9,0.701,1,112,0,0,0.750904063,-0.178688063,-0.01216476,0.572216,1011,11,"Bullock County",2808,2391,12.5,67.8,67.8,12.5,0.075,2.73,3741,4461,8.7,74.3,70600,32033,18628,18628,26.9,622.81,0,470,5.2,0.763068823,0.763068823,0.750904063,0.235050771,0.242288875,0.528018052,0.508615188,10914,17.5,5.4,84.7,5.2,-1.4,10915,10764,21.6,10915,10764,-1.4,21.6,26.9,70.1,0.8,0.3,0.7,1.1,7.5,22.1,0.235050771,43810,3995,417,38.8,0,0,0,0,0,45.3,"AL",1,5318,4701,0.242288875,0.202980053,0.445268927,0.007238104,636,4058,3530,1250,1139,0.269,0
"7",28427,6.1,23.6,18,0.44,2,393,5711,2.7,0.427864134,0.035449121,-0.032644144,0.463313254,1013,13,"Butler County",714,1175,14,76.3,76.3,14,0.012,2.47,8235,9916,13.3,70.3,74700,29918,17403,17403,24,776.83,399132,1095,1.7,0.460508278,0.460508278,0.427864134,0.535800907,0.563154865,-0.075292629,-0.135290731,20947,27,0.8,94.6,1.7,-3.1,20946,20296,28.4,20946,20296,-3.1,28.4,53.9,44,0.4,0.9,0,0.8,1.2,53.1,0.535800907,229277,11326,1769,0,0,3.3,0,0,0,53.6,"AL",1,9483,8685,0.563154865,-0.040663239,0.522491625,0.027353958,1497,4367,3716,5081,4891,0.539,56712
"8",186533,5.7,22.2,16,0.211,114,2311,34871,0.6,0.278558764,0.058919837,-0.056648849,0.337478601,1015,15,"Calhoun County",14772,19606,16.1,78.6,78.6,16.1,0.035,2.54,45196,53289,13.8,68.7,100600,39962,20828,20828,22.5,605.87,2679991,6352,4.5,0.335207612,0.335207612,0.278558764,0.65467128,0.692396994,-0.319463668,-0.41383823,118572,195.7,2.4,83.6,4.5,-2.3,118586,115916,21.9,118586,115916,-2.3,21.9,75.8,21.1,0.5,0.9,0.1,1.7,3.5,72.9,0.65467128,1542981,13678,8713,24.7,0,1.6,7.2,0.5,0,51.8,"AL",1,46240,47376,0.692396994,-0.058422987,0.633974007,0.037725714,11385,15500,13197,30272,32803,0.758,0
"9",23237,5.9,21.4,18.3,0.395,8,515,6431,-0.2,0.418275512,-0.014943684,-0.052332921,0.403331828,1017,17,"Chambers County",743,2040,11.8,75.1,75.1,11.8,0.02,2.46,13722,16894,11.1,67.9,81200,32402,19291,19291,24.6,596.53,667283,2354,1.3,0.470608433,0.470608433,0.418275512,0.521631644,0.56633764,-0.051023211,-0.148062128,34215,57.4,1.1,85.8,1.3,-0.3,34170,34076,24.1,34170,34076,-0.3,24.1,58.3,39.5,0.3,0.8,0.1,1.1,2,56.8,0.521631644,264650,7620,1981,29.3,0,0,0,0,0,52.3,"AL",1,14562,13778,0.56633764,0.018838454,0.585176094,0.044705996,2691,6853,5763,7596,7803,0.583,0
"10",13948,4.8,20.4,20.9,0.046,2,379,3864,5.5,0.1451014,0.059289688,-0.072704153,0.204391088,1019,19,"Cherokee County",5368,7285,12.8,78.3,78.3,12.8,0.015,2.2,11656,16241,4.6,76.1,99400,34907,22030,22030,26.9,553.7,307439,1560,1.1,0.217805553,0.217805553,0.1451014,0.767749206,0.838712749,-0.549943653,-0.693611349,25989,46.9,0.7,90.6,1.1,0.2,25986,26037,21.2,25986,26037,0.2,21.2,93,4.6,0.5,0.3,0,1.6,1.5,91.6,0.767749206,186321,7613,2180,14.5,0,0,0,0,0,50.2,"AL",1,9761,10503,0.838712749,-0.077622833,0.761089916,0.070963543,2174,2126,1524,7494,8809,0.93,62293
"11",34073,6.4,24.2,15.2,0.106,78,703,7396,8.8,0.159353602,0.083972977,-0.035151388,0.243326579,1021,21,"Chilton County",10519,12159,12.9,76,76,12.9,0.077,2.67,16232,19221,4.1,74.5,102600,41250,20701,20701,31.8,692.85,0,2719,7.4,0.19450499,0.19450499,0.159353602,0.797866238,0.825417694,-0.603361248,-0.666064092,43643,63,5.2,88.8,7.4,0.7,43631,43931,19.5,43631,43931,0.7,19.5,87.1,10.6,0.5,0.4,0.2,1.2,7.7,80.3,0.797866238,359910,8496,0,0,0,0,0,0,0,50.8,"AL",1,17434,18255,0.825417694,-0.097083797,0.728333897,0.027551455,3308,3391,2909,13910,15068,0.871,155139
"12",11345,4.9,20.6,20.8,0.424,0,255,2900,1.4,0.427765548,-0.025065593,-0.04743847,0.402699954,1023,23,"Choctaw County",365,993,11.8,75.2,75.2,11.8,0.008,2.45,5518,7231,4,83.7,58200,33941,20323,20323,33.4,913.5,0,809,1.3,0.475204018,0.475204018,0.427765548,0.521029504,0.564391855,-0.045825487,-0.136626307,13859,15.2,0.3,91.4,1.3,-3.9,13858,13323,21.5,13858,13323,-3.9,21.5,56.6,42.4,0.2,0.3,0,0.5,0.8,56.1,0.521029504,84633,5969,1102,44.1,0,0,26.2,0,0,52.5,"AL",1,7965,7268,0.564391855,0.025054352,0.589446207,0.043362351,938,3785,3109,4150,4102,0.566,52904
"13",23596,5.6,22.6,18,0.442,11,586,6648,3.7,0.441558442,0.011940322,-0.015301326,0.453498764,1025,25,"Clarke County",1146,1397,11.2,78.3,78.3,11.2,0.013,2.63,9631,12583,6.8,72.9,85600,29357,18979,18979,25.5,1238.47,571454,1640,1.3,0.456859767,0.456859767,0.441558442,0.539741086,0.549551639,-0.082881319,-0.107993197,25833,20.9,0.3,92.5,1.3,-3.5,25840,24945,29.3,25840,24945,-3.5,29.3,54,44.2,0.4,0.5,0,0.8,1.3,53.1,0.539741086,344311,13034,2374,28.6,0,0,0,0,0,52.8,"AL",1,13827,12936,0.549551639,-0.020648222,0.528903417,0.009810553,1583,6317,5712,7463,7109,0.54,85803
"14",4352,5.3,21.6,19.4,0.145,0,190,2993,4.6,0.187766281,0.040559092,-0.078799984,0.228325374,1027,27,"Clay County",3032,3996,9.2,76.5,76.5,9.2,0.034,2.38,5649,6736,10,75,79900,34002,18694,18694,30.7,603.96,330878,792,3.3,0.266566265,0.266566265,0.187766281,0.723192771,0.795800365,-0.456626506,-0.608034084,13932,23.1,2.2,88.3,3.3,-2.7,13932,13552,19,13932,13552,-2.7,19,82.8,14.5,0.6,0.3,0,1.8,3.4,79.7,0.723192771,70558,5123,1005,0,0,0,0,0,0,50.6,"AL",1,6640,6572,0.795800365,-0.048533675,0.74726669,0.072607594,1076,1770,1234,4802,5230,0.828,0
"15",4134,5.7,23.3,18.4,0.036,1,152,1548,-4.8,0.104715248,0.049105736,-0.049362822,0.153820984,1029,29,"Cleburne County",4298,5054,9,76,76,9,0.025,2.64,5601,6690,6.3,77.6,100800,38019,19108,19108,31.4,560.1,0,930,2.3,0.15407807,0.15407807,0.104715248,0.836083783,0.878444581,-0.682005712,-0.773729333,14972,26.7,1.5,89.1,2.3,0.7,14972,15080,18.4,14972,15080,0.7,18.4,94.5,3.6,0.4,0.2,0.1,1.2,2.5,92.3,0.836083783,133407,9080,1280,17.7,0,0,0,0,0,50.4,"AL",1,6302,6532,0.878444581,-0.060499199,0.817945382,0.042360798,989,971,684,5269,5738,0.945,5888
"16",50080,6.1,23.7,15.9,0.177,58,954,12762,0.3,0.204455711,0.175595245,-0.044035286,0.380050956,1031,31,"Coffee County",9739,11631,22.5,82.4,82.4,22.5,0.064,2.65,18820,22852,13.5,69.9,131000,43768,23380,23380,21.3,678.97,613758,2602,7.5,0.248490997,0.248490997,0.204455711,0.742480345,0.771462,-0.493989348,-0.567006289,49948,73.6,5.1,83.3,7.5,1.9,49948,50909,18.6,49948,50909,1.9,18.6,76.4,17.7,1.4,1.6,0.4,2.5,6.4,71.3,0.742480345,639623,13665,4032,29.3,0,1.3,6,0.7,0,50.5,"AL",1,19715,20513,0.771462,-0.190990039,0.580471961,0.028981655,6066,4899,4194,14638,15825,0.764,131594
