"","country_or_area","Charcoal...Consumption.by.other.Metric.tons...thousand","Charcoal...Final.consumption.Metric.tons...thousand","Charcoal...Final.energy.consumption.Metric.tons...thousand","Charcoal...Total.energy.supply.Metric.tons...thousand","Electricity...Consumption.by.commercial.and.public.services.Kilowatt.hours..million","Electricity...Consumption.by.households.Kilowatt.hours..million","Electricity...Consumption.by.manufacturing..construction.and.non.fuel.industry.Kilowatt.hours..million","Electricity...Consumption.by.other.manuf...const..and.non.fuel.ind..Kilowatt.hours..million","Electricity...Consumption.by.other.Kilowatt.hours..million","Electricity...Final.energy.consumption.Kilowatt.hours..million","Electricity...Gross.demand.Kilowatt.hours..million","Electricity...Gross.production.Kilowatt.hours..million","Electricity...Losses.Kilowatt.hours..million","Electricity...net.installed.capacity.of.electric.power.plants..public.combustible.fuels.Kilowatts...thousand","Electricity...net.production.Kilowatt.hours..million","Electricity...Own.use.by.electricity..heat.and.CHP.plants.Kilowatt.hours..million","Electricity...total.net.installed.capacity.of.electric.power.plants..combustible.fuels.Kilowatts...thousand","Electricity...total.net.installed.capacity.of.electric.power.plants..main.activity...autoproducer.Kilowatts...thousand","Electricity...total.net.installed.capacity.of.electric.power.plants..main.activity.Kilowatts...thousand","Electricity...total.production..main.activity.Kilowatt.hours..million","Electricity...total.thermal.production.Kilowatt.hours..million","From.combustible.fuels...Autoproducer.Kilowatt.hours..million","From.combustible.fuels...Autoproducer.Terajoules","From.combustible.fuels...Main.activity...Electricity.plants.Kilowatt.hours..million","From.combustible.fuels...Main.activity.Kilowatt.hours..million","From.combustible.fuels...Main.activity.Terajoules","Fuel.oil...Total.energy.supply.Metric.tons...thousand","Fuelwood...Consumption.by.households.Cubic.metres..thousand","Fuelwood...Consumption.by.other.Cubic.metres..thousand","Fuelwood...Final.consumption.Cubic.metres..thousand","Fuelwood...Final.energy.consumption.Cubic.metres..thousand","Fuelwood...Production.Cubic.metres..thousand","Fuelwood...Total.energy.supply.Cubic.metres..thousand","Fuelwood...Transformation.Cubic.metres..thousand","Gas.Oil..Diesel.Oil...Consumption.by.transport.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Consumption.in.road.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Final.consumption.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Final.energy.consumption.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Imports.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Total.energy.supply.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Transformation.in.electricity.plants...main.activity.producers.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Transformation.in.electricity..CHP.and.heat.plants.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Transformation.Metric.tons...thousand","Kerosene.type.Jet.Fuel...Imports.Metric.tons...thousand","Kerosene.type.Jet.Fuel...International.aviation.bunkers.Metric.tons...thousand","Kerosene.type.Jet.Fuel...Total.energy.supply.Metric.tons...thousand","Liquefied.petroleum.gas..LPG....Consumption.by.households.Metric.tons...thousand","Liquefied.petroleum.gas..LPG....Consumption.by.other.Metric.tons...thousand","Liquefied.petroleum.gas..LPG....Final.consumption.Metric.tons...thousand","Liquefied.petroleum.gas..LPG....Imports.Metric.tons...thousand","Liquefied.petroleum.gas..LPG....Total.energy.supply.Metric.tons...thousand","Liquified.Petroleum.Gas..LPG....Final.energy.consumption.Metric.tons...thousand","Motor.Gasoline...Consumption.by.transport.Metric.tons...thousand","Motor.Gasoline...Consumption.in.road.Metric.tons...thousand","Motor.Gasoline...Final.consumption.Metric.tons...thousand","Motor.Gasoline...Final.energy.consumption.Metric.tons...thousand","Motor.Gasoline...Imports.Metric.tons...thousand","Motor.Gasoline...Total.energy.supply.Metric.tons...thousand"
"1","Afghanistan",125.926,125.926,125.926,125.926,314.4,2204.9,800,800,2967.3,3767.3,4486.8,1049.3,500,60,776,273.3,115,431,249,742.3,154,5,NA,149,149,NA,1,1002.966,1002.966,1002.966,1002.966,1758.409,1758.396,755.43,882.1,882.1,882.1,882.1,882.1,882.1,19.7,20.2,20.2,51.5,10.1,41.4,NA,NA,NA,NA,NA,NA,713,713,713,713,713,713
"2","Albania",NA,NA,NA,NA,NA,3500,1466.17,1161.27,5057.03,6523.2,7791.43,4724.43,1119.07,98,4724.43,0,123,1865,1840,4724.43,NA,NA,NA,NA,NA,213.52,2.88,733.02,847.56,893.37,893.37,893.37,893.37,NA,701.96,670.94,780.08,780.08,979.71,781.72,NA,NA,NA,7.91,7,0.91,79.23,104.82,116.58,157.29,121,116.58,107.75,103,120.22,120.22,177.22,120.22
"3","Algeria",NA,NA,NA,NA,NA,17579,16020,13797,28846,45733,57484,64242,11003,12466,57675,6567,15657,15957,12766,60500,63988,3742,NA,60246,60246,NA,22,27.47673782,27.47673782,27.47673782,27.47673782,27.47673782,27.47673782,NA,8679,8679,9532,9532,1088,9897,109,365,365,NA,415,119,1457,1505,1895,NA,1997,1895,4085,4085,4122,4122,1033,4058
"4","American Samoa",NA,NA,NA,NA,38.622,40.313,23.142,23.142,111.627,134.769,147.364,156.945,12.596,40.5,147.364,9.581,40.5,41.5,41.5,156.945,155.845,NA,NA,155.845,155.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Andorra",0.029,0.029,0.029,0.029,373.887,93.012,7.6,7.6,466.899,474.499,542,126.8,67.482,5,126.8,1.42e-14,5,31.5,31.5,126.8,13.4,NA,NA,13.4,13.4,NA,NA,2.4,2.4,2.4,2.4,NA,2.4,NA,82.19,82.19,129.96,129.96,130,130,NA,NA,NA,0.106882591,0.106882591,0,2.14,2.14,2.14,2.14,2.14,2.14,18.58381,18.58381,18.58381,18.58381,18.589056,18.589056
"6","Angola",1164,1164,1164,1164,NA,5421,2757,2757,5421,8178,9246,9480,1068,640,9246,234,770,2070,1940,8934,4439,546,NA,3893,3893,NA,168,7620.251779,7620.251779,7620.251779,7620.251779,19879.36508,19879.36508,12259.1133,1490,1467,3081,3081,3579,4079,818,1000,1000,137,225,248,233,245,247,52,247,247,940,940,1050,1050,1400,1420
"7","Anguilla",NA,NA,NA,NA,55.4,22.6,NA,NA,78,78,86.7,89.5,8.7,28.2,86.7,2.8,28.2,28.2,28.2,89.5,89.5,NA,NA,89.5,89.5,NA,NA,0.2,0.2,0.2,0.2,0.2,0.2,NA,13,NA,13,13,31.7,31.7,19.1,19.1,19.1,NA,NA,NA,5.5,5.5,5.5,5.5,5.5,5.5,7.6,7.6,7.6,7.6,7.6,7.6
"8","Antigua and Barbuda",NA,NA,NA,NA,138,95,9,9,233,242,329,336,87,83,329,7,84,84,83,335,336,1,NA,335,335,NA,35,NA,NA,NA,NA,NA,NA,NA,8,NA,8,8,65,64,55,55,55,78,47,31,3.4,3.4,3.4,3.4,3.4,3.4,39,39,39,39,42,39
"9","Argentina",377,377,377,376,29354,43880,51881,51881,74281,126757,147001,141586,20248,20659,137686,3900,24651,35945,31931,126883,93736,14653,NA,79083,79083,NA,3595,NA,NA,NA,NA,5275.314724,5275.314724,5275.314724,6638,6359,10632,10632,3390,12209,1620,1689,1689,66,860,627,1397,1727,1940,NA,1975,1940,5340,5340,5537,5537,330,5560
"10","Armenia",NA,NA,NA,0.034,327,2008,1479,1442,3759,5353,6281.14,7750,929,2390,7389,361,2390,4091,4091,7750,3289,NA,NA,NA,3289,127,0,NA,1546,1546,1546,1546,1546,NA,NA,NA,142.73,142.73,142.73,142.73,NA,NA,NA,40.46,40.46,0,NA,6.76,6.76,6.76,6.76,6.76,129.01,129.01,129.01,129.01,129.01,129.01
