state,hdi   ,mean_life_expectancy,per_high_school_graduation,per_ba,per_graduate_edu,per_school_enroll,med_income,health_index,education_index,diabetes_rate,child_poverty_rate,adult_poverty_rate,naep_read_scire,naep_math_score,per_hs_graduate,mean_spending_k12_edu,mean_spending_university,per_internet_access,tot_pop,per_youth_pop,per_elderly_pop,per_urban_pop,per_rural_pop,per_white,per_latino,per_black,per_asian,per_homeless,spending_trans_percap,per_infant_mortality,child_mortality_per100,food_index,per_immunized,per_obesity,doctors_per_100,per_smoke,per_drink,crime_per_100,homicide_rate,suicide_rate,rape_rate,police_per_100,prisoners_per_million,voting_rate,per_women_legislature,co2_tons_percap,tot_superfund_sites,energy_use,water_use,gross_domestic_product,gini_inequality,poverty_rate,unemployment_rate,unionization_rate,bankruptcy_rate
Alabama,4.09,75.2,81.9,22,7.7,83.6,26112,3.83,4.25,11.2,25.8,12.1,28.2,20.4,67.1,8709,906,61.7,4661900,24.1,13.8,55.4,44.6,68.4,2.8,26.1,1,0.1,269,9,31.2,11.9,83.1,32.2,21.6,22.1,12,453,9.8,12.4,34.7,35,619,61.8,12.9,30.5,13,479024,2464,29411,0.47,15.7,10.8,10.9,7.3
Alaska,5.27,78.3,91.6,27.3,9.7,84.9,31774,5.13,5.15,6.7,13.4,3.7,27.2,33.5,69.1,12781,1252,83.4,686293,26.2,7.3,65.6,34.4,65.6,6.2,3.4,4.6,0.41,3230,6.5,34.8,12.4,79.2,27.1,24.2,21.5,15.9,652,6.1,20,64.3,106,357,68.1,21.7,69,6,1177491,1763,43640,0.4,8.4,8.3,22.3,1.3
Arizona,5.11,79.9,83.8,25.1,9.2,84.2,29049,5.8,4.61,7.8,23,8.6,24.7,29,69.6,7610,413,74.3,6500180,26.3,13.3,88.2,11.8,58.2,30.1,3.5,2.3,0.21,206,6.7,28.9,12,84.6,25.6,22.3,15.9,15.6,447,8.9,16,25.7,36,565,56.2,31.1,15.1,9,250089,1172,32343,0.45,14.7,9.6,6.5,5
Arkansas,3.87,76.1,82,18.8,6.3,83,23471,4.2,3.98,9.5,28.7,12.5,28.8,27,74.4,8702,962,63.4,2855390,24.6,14.3,52.5,47.5,75.6,5.5,15.5,1,0.2,317,8.3,45.9,14.4,81.4,29.5,20.4,22.3,12.6,503,8.5,13.3,48.9,36,507,53.4,23,21.3,9,414124,4611,27753,0.46,17.3,7.7,4.2,5.5
California,5.56,80.4,80.2,29.6,10.8,89.5,31008,5.99,5.3,8.5,20.1,8.7,23.7,23.4,70.7,9283,446,75.6,36756666,25.5,11.2,94.4,5.6,42,36.6,5.9,12.2,0.47,257,5.2,23.5,10.2,86.8,24.3,26.1,14,15.6,504,6.9,9.2,24.2,37,471,61.7,27.5,10.8,94,234158,1433,42064,0.47,13.3,12.4,17.2,5.4
Colorado,5.65,79.9,88.9,35.6,12.7,87.5,30853,5.8,5.81,6,18,8.4,40.2,39.7,76.6,8593,709,76.1,4939456,24.4,10.3,84.5,15.5,70.8,20.2,3.6,2.5,0.47,285,6.3,21.2,11,86.5,19.1,26.6,17.6,16,343,3.7,15.2,42.5,23,468,69.8,37,19.5,18,300243,3283,41102,0.46,11.4,8,7,5.4
Connecticut,6.3,80.2,88.6,35.6,15.2,92.1,36827,5.91,6.44,6.8,14.3,7.6,42.4,39.8,81.8,14165,753,82,3501252,23.2,13.7,87.7,12.3,73.6,12,9,3.4,0.15,449,5.5,23,8.8,88.2,21.4,36.1,15.9,16.6,298,3.9,8,19.3,57,411,67.1,32.1,12.6,14,265316,1211,50758,0.49,9.3,8.9,17.3,2.8
Delaware,5.33,78.3,87.2,27.5,10.8,88.4,31320,5.13,5.4,8.3,14.2,7.7,35.1,31.7,71.9,12196,421,76.5,873092,23.6,13.9,80.1,19.9,68.2,6.8,20.2,2.9,0.13,830,9,17.2,8.6,84.3,27.8,26.2,17.8,17.9,703,6.1,10.4,41.9,119,473,66.1,25.8,20.4,14,368262,1357,56401,0.45,10,8.8,11.9,3.3
Florida,5.07,79.7,85.2,25.8,9,86.9,27366,5.71,5,9.5,21.3,10.4,35.8,29,65,8885,349,75,18328340,21.8,17.4,89.3,10.7,60.1,21,14.8,2.2,0.34,423,7.2,34.8,9,88.5,25.2,25.5,17.5,13,689,7,12.6,32.6,26,548,67.5,23.8,14.2,52,256737,1153,32925,0.47,13.2,11.7,5.8,5
Georgia,4.86,77.1,83.9,27.5,9.7,86.1,29453,4.62,4.95,9.9,23.6,11.9,29.4,26.8,64.1,9439,298,73,9685744,26.3,10.1,71.6,28.4,57.9,7.9,29.6,2.8,0.3,319,8.4,32.7,13,79,27.8,21.4,19.5,14,479,7.1,10,22.7,28,542,61.5,19.5,19.3,15,352087,671,34017,0.47,14.7,10.2,4.6,7.3
