,,per.access.to.electricity,per.ag.land,per.arable.land,per.armed.forces.of.pop,tot.threatened.birds,birth.rate.per1000,fisheries.production,co2.emissions.metric.tons,compulsory.edu.years,cpi,current.account.balance,per.health.expenditures.gdp,death.rate.per1000,ease.of.doing.business.score,tot.employers.per.employment,per.employed.ag,per.employed.industry,per.employed.service,exports.per.gdp,fertility.rate.per.woman,broadband.per100,fish.threatened,food.exports.per.all.exports,food.imports.per.all.imports,fdi.per.gdp,forest.per.all.land,gdp.per.capita,gdp.growth,edu.expend.per.gdp,human.capital.index,imports.per.gdp,hiv.per1000,inflation.percentage,tourism.per.all.imports,labor.force.participation.per.tot.pop,land.area.sq.km,life.expectancy.years,methane.emissions.kt,expend.military.per.gdp,cellular.subscriptions.per100,infant.mortality.rate.per1000,aid.usd,no2.emissions.metric.tons,oil.rents.per.gdp,per.open.defecation,per.access.drinking.water,per.basic.sanitation,cropland.per.all.land.area,remittances.per.gdp,plants.threatened,population.density,population.growth,female.pop.per.total,male.pop.per.total,pop.total,per.undernourishment,per.primary.edu.completion,per.rural.pop,tot.surface.area.km2,tax.revenue.per.gdp,protected.area.per.total.terrestrial.area,terrrestrial.protected.area.per.total.land,alcohol.percap.liters,tot.greenhouse.gas.emissions.kt,trade.per.gdp,unemployment.rate,per.urban.pop,urban.pop.growth
Country Name,Country Code,Access to electricity (% of population) [EG.ELC.ACCS.ZS],Agricultural land (% of land area) [AG.LND.AGRI.ZS],Arable land (% of land area) [AG.LND.ARBL.ZS],Armed forces personnel (% of total labor force) [MS.MIL.TOTL.TF.ZS],"Bird species, threatened [EN.BIR.THRD.NO]","Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]",Capture fisheries production (metric tons) [ER.FSH.CAPT.MT],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],"Compulsory education, duration (years) [SE.COM.DURS]",Consumer price index (2010 = 100) [FP.CPI.TOTL],Current account balance (% of GDP) [BN.CAB.XOKA.GD.ZS],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]",Ease of doing business score (0 = lowest performance to 100 = best performance) [IC.BUS.DFRN.XQ],"Employers, total (% of total employment) (modeled ILO estimate) [SL.EMP.MPYR.ZS]",Employment in agriculture (% of total employment) (modeled ILO estimate) [SL.AGR.EMPL.ZS],Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS],Employment in services (% of total employment) (modeled ILO estimate) [SL.SRV.EMPL.ZS],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",Fixed broadband subscriptions (per 100 people) [IT.NET.BBND.P2],"Fish species, threatened [EN.FSH.THRD.NO]",Food exports (% of merchandise exports) [TX.VAL.FOOD.ZS.UN],Food imports (% of merchandise imports) [TM.VAL.FOOD.ZS.UN],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",Forest area (% of land area) [AG.LND.FRST.ZS],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]",Human capital index (HCI) (scale 0-1) [HD.HCI.OVRL],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],"Incidence of HIV, all (per 1,000 uninfected population) [SH.HIV.INCD.TL.P3]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","International tourism, expenditures (% of total imports) [ST.INT.XPND.MP.ZS]","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate) [SL.TLF.CACT.ZS]",Land area (sq. km) [AG.LND.TOTL.K2],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Methane emissions (kt of CO2 equivalent) [EN.ATM.METH.KT.CE],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Net bilateral aid flows from DAC donors, Total (current US$) [DC.DAC.TOTL.CD]",Nitrous oxide emissions (thousand metric tons of CO2 equivalent) [EN.ATM.NOXE.KT.CE],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],People practicing open defecation (% of population) [SH.STA.ODFC.ZS],People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],People using at least basic sanitation services (% of population) [SH.STA.BASS.ZS],Permanent cropland (% of land area) [AG.LND.CROP.ZS],"Personal remittances, received (% of GDP) [BX.TRF.PWKR.DT.GD.ZS]","Plant species (higher), threatened [EN.HPT.THRD.NO]",Population density (people per sq. km of land area) [EN.POP.DNST],Population growth (annual %) [SP.POP.GROW],"Population, female (% of total population) [SP.POP.TOTL.FE.ZS]","Population, male (% of total population) [SP.POP.TOTL.MA.ZS]","Population, total [SP.POP.TOTL]",Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS],"Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]",Rural population (% of total population) [SP.RUR.TOTL.ZS],Surface area (sq. km) [AG.SRF.TOTL.K2],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],Terrestrial protected areas (% of total land area) [ER.LND.PTLD.ZS],"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]",Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Urban population growth (annual %) [SP.URB.GROW]
Afghanistan,AFG,96.61613464,58.08136507,11.79885427,2.722970255,16,32.487,2050,0.200151071,9,146.5224819,-21.58526707,14.12674332,6.423,44.20343,2.720000029,43.13000107,18.45999908,38.40999985,,4.473,0.043040552,4,65.89656176,34.03305766,0.661572002,1.850994088,485.6684187,1.189228128,3.199790001,0.393489242,,0.04,0.626149149,2.829371746,47.37599945,652860,64.486,81510,1.006746292,59.12084823,47.9,3121639990,8960,0.001938514,12.17017227,69.60193058,47.39066209,0.330851944,4.450984766,5,56.93704929,2.384309079,48.6358467,51.3641533,37171922,23.4,85.62532806,74.505,652860,,0.104707035,0.104707035,0.21,98920,,11.15200043,25.495,3.349934387
Algeria,DZA,99.69783783,17.36496412,3.151063445,2.570824387,15,24.282,115255,3.591657418,10,148.4639947,-9.665289348,6.16302586,4.716,48.49803,4.630000114,9.880000114,30.90999985,59.22000122,25.86115082,3.023,7.262935415,41,,,0.83820748,0.810331602,4142.018558,1.1,5.866350174,0.531993926,32.20434095,0.04,4.269990205,0.901999675,41.8030014,2381741,76.693,49550,5.467824356,111.6647921,20.4,139420004.9,12110,15.62365219,0.415795117,94.03741308,86.30309248,0.424899265,1.134862745,22,17.73006175,2.007398663,49.48426788,50.51573212,42228415,2.5,105.143959,27.371,2381741,,7.105493117,7.495060028,0.95,218910,58.06549177,10.42000008,72.629,2.805020077
Andorra,AND,100,40.06382979,1.765957447,,3,7.2,0,5.97340536,10,,,6.75162506,4.4,,,,,,,,46.31197569,0,0.568385871,22.1232267,,34.04255319,41791.96984,1.58876549,3.246720076,,,,,,,470,,50,,107.2825494,2.6,,0,,0,100.0000012,100.0000012,,,0,163.8468085,0.014285251,,,77008,,,11.938,470,,26.72772478,26.72772478,11.02,590,,,88.062,-0.085490248
Antigua and Barbuda,ATG,100,20.45454545,9.090909091,,3,15.327,3165,5.504663385,11,113.8076204,-14.54984021,4.85093021,6.366,59.85514,,,,,64.52485557,1.994,,31,42.75333882,27.38481656,12.75541809,18.75,16679.59166,6.883640817,2.644079924,0.57821697,70.53929729,,1.207157934,9.797813288,,440,76.885,200,,,5.8,3340000.095,20,0,,,,2.272727273,2.040435797,4,218.8227273,0.894078681,51.78849629,48.21150371,96282,,96.19882965,75.401,440,,0.258339766,18.56967369,6.38,1210,135.0641529,,24.599,0.431600552
Armenia,ARM,99.90000153,58.914647,15.65156305,3.917756025,14,13.987,369,1.880246268,12,127.337952,-7.030518016,10.00543404,9.857,73.19187,0.879999995,25.78000069,22.79000092,51.43000031,39.39289403,1.755,11.7709355,3,30.16770907,16.08555441,2.141806067,11.55216017,4220.540321,5.2,2.255870104,0.581725955,53.08021299,0.1,2.52023382,20.10078239,53.16999817,28470,74.945,2430,4.119886153,121.259018,10.8,186099999.7,1170,0,0.010731335,99.95192387,93.68810568,2.075869336,11.94432078,74,103.6789954,0.235799808,52.95657715,47.04342285,2951741,3.2,89.87895966,36.851,29740,20.8701039,23.11050281,23.11050281,5.55,9360,92.47310702,18.96999931,63.149,0.308684923
Australia,AUS,100,46.65809501,4.026770601,0.438503241,52,12.6,225436.6875,15.47551649,10,117.8980229,-2.092526706,9.1550045,6.3,80.70552,5.809999943,2.619999886,19.88999939,77.5,21.86971295,1.74,33.8471546,125,11.84022295,6.519643471,4.292849405,17.42131456,57180.7794,2.87097248,5.107890129,0.78083396,21.51251312,0.04,1.911400944,13.66075663,65.62999725,7692020,82.74878049,139070,1.890622246,111.012255,3.2,,76760,0.314528236,0,99.96989482,99.99115238,0.043161614,0.130303033,108,3.24787091,1.536105516,50.19962324,49.80037676,24982688,2.5,,13.988,7741220,23.18510689,29.70879373,19.26562231,10.51,615380,43.38222607,5.300000191,86.012,1.661749259
Azerbaijan,AZE,100,57.8253926,25.38171171,1.609662927,17,14,1601,3.221402183,10,152.9,12.84376829,3.55621028,5.8,73.8979,12.72999954,36.25999832,14.72000027,49.02000046,54.09229386,1.73,19.00503511,14,3.596068574,14.49282764,2.977946112,13.41392976,4739.84171,1.5,2.455430031,0.629312158,37.58028267,0.05,2.268546904,13.85468754,66.83999634,82654,72.864,43600,3.562401234,103.9214187,19.2,126560000.5,4160,25.30762431,0.086391507,94.69388812,96.12652151,3.085150144,2.601811667,44,120.2575919,0.866316916,50.1157491,49.8842509,9939771,2.5,100.2199478,44.32,86600,12.97127179,5.519156836,10.15512562,4.41,80260,91.67257654,4.900000095,55.68,1.473400152
Bahrain,BHR,100,11.02564103,2.051282051,2.103001048,7,13.99,15000,19.59297584,9,117.5893744,-6.440423968,4.14378214,2.385,70.13951,1.649999976,0.970000029,35.40000153,63.63000107,79.25365941,1.987,8.04844512,14,3.419108765,9.246678738,0.294089711,0.846153846,24085.95599,2.136701347,,0.663898766,71.55878101,,2.08766938,9.276503331,72.04399872,780,77.163,14850,4.07429483,133.3409369,6.1,,90,2.425645707,0,100,100,3.846153846,,0,2012.102564,4.921024296,36.34825161,63.65174839,1569440,,97.87412262,10.713,780,,1.686352006,6.621747813,1.09,48950,150.8124404,1.200999975,89.287,5.034177813
Bangladesh,BGD,91.80000305,70.69447645,59.70884228,0.333537843,36,18.184,1871225,0.512837314,5,170.1642434,-2.589110767,2.50803041,5.529,42.46602,4.909999847,39.38999939,20.84000015,39.77000046,14.80095818,2.036,4.990118524,29,,,0.883679503,14.46877161,1698.132081,7.86375358,,0.458553284,23.44393481,,5.543621395,1.840353977,58.34899902,130170,72.32,83790,1.263999785,100.2447125,26.8,2522980041,29240,0.026180524,0.220962759,97.47252486,51.21970677,6.376277176,5.680302234,23,1239.738135,1.0535703,49.38729667,50.61270333,161376713,10.8,,63.368,147570,,4.888648581,4.605962812,0.019,198970,38.24489299,4.413000107,36.632,3.189119712
